Tender,Date,Competitors,Bid_value_without_inflation,Winner,Bid_value,Bid_value_inflation_raw_milk_price_adjusted_bid,Collusive_competitor,only_cartels_bidding_on_contract,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
1909,1986,47,0.135,0,0.0997259565667011,0.0297259565667011,0,0,3,0.0529,0.102,0.0922,0.0,0.0,-1.6732,0.5707,0
1909,1986,104,0.1338,0,0.0988395036194415,0.0288395036194415,0,0,3,0.0529,0.102,0.0922,0.0,0.0,-1.6732,0.5707,0
2291,1987,26,0.129,1,0.0930484685291147,0.0229484685291147,0,0,2,0.0492,0.0721,0.0721,0.0,0.0,0.0,0.5,0
2291,1987,104,0.1383,0,0.0997566139347021,0.0296566139347021,0,0,2,0.0492,0.0721,0.0721,0.0,0.0,0.0,0.5,0
2703,1988,26,0.129,1,0.0905789646133682,0.0239789646133682,0,0,3,0.0415,0.0853,0.0853,0.0,0.0,-0.9645,0.3394,0
2703,1988,47,0.14,0,0.098302752293578,0.0317027522935779,0,0,3,0.0415,0.0853,0.0853,0.0,0.0,-0.9645,0.3394,0
2703,1988,104,0.1364,0,0.0957749672346002,0.0291749672346002,0,0,3,0.0415,0.0853,0.0853,0.0,0.0,-0.9645,0.3394,0
3108,1989,26,0.134,1,0.090373564122738,0.019573564122738,0,0,2,0.0773,0.1157,0.0,0.0,0.0,0.0,0.5,0
3108,1989,47,0.1495,0,0.1008272226593233,0.0300272226593233,0,0,2,0.0773,0.1157,0.0,0.0,0.0,0.0,0.5,0
3486,1990,26,0.154,1,0.1002496962332928,0.0205496962332928,0,0,3,0.0546,0.1006,0.0058,0.0,0.0,1.7112,0.6086,0
3486,1990,47,0.1695,0,0.1103397630619684,0.0306397630619684,0,0,3,0.0546,0.1006,0.0058,0.0,0.0,1.7112,0.6086,0
3486,1990,104,0.1549,0,0.1008355710814094,0.0211355710814094,0,0,3,0.0546,0.1006,0.0058,0.0,0.0,1.7112,0.6086,0
1546,1985,92,0.119,1,0.0899213681241184,0.0191213681241184,0,0,2,0.0499,0.0731,0.0731,0.0,0.0,0.0,0.5,0
1546,1985,106,0.1277,0,0.0964954513399153,0.0256954513399153,0,0,2,0.0499,0.0731,0.0731,0.0,0.0,0.0,0.5,0
1908,1986,92,0.12,1,0.0886452947259565,0.0186452947259565,0,0,3,0.0498,0.1042,0.1042,0.0,0.0,-0.6736,0.3333,0
1908,1986,47,0.1325,0,0.0978791795932437,0.0278791795932437,0,0,3,0.0498,0.1042,0.1042,0.0,0.0,-0.6736,0.3333,0
1908,1986,106,0.1277,0,0.0943333678042054,0.0243333678042054,0,0,3,0.0498,0.1042,0.1042,0.0,0.0,-0.6736,0.3333,0
2290,1987,92,0.1182,1,0.0852583641871423,0.0151583641871423,0,0,2,0.0759,0.1134,0.1134,0.0,0.0,0.0,0.5,0
2290,1987,106,0.1316,0,0.0949238640188488,0.0248238640188488,0,0,2,0.0759,0.1134,0.1134,0.0,0.0,0.0,0.5,0
