Tender,Difference Bid/PTE,Winner,Competitors,Legal_entity_type,Site,Capital,Pre-Tender Estimate (PTE),Bid_value,Cartel_name,Collusive_competitor,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
1,28.38111,0,9422250010,11,6.91599988937378,10000.0,1081977.2,77490006.07,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
1,35.41216,0,12546350153,11,94.4420013427734,50400.0,1081977.2,69882570.28,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,45.25005,0,10411470155,11,103.728996276855,100000.0,1081977.2,59238197.6,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,33.30422,0,1464770203,10,174.451995849609,362898.0,1081977.2,72163313.3,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,36.13035,0,4034780017,10,0.347000002861023,3000000.0,1081977.2,69105505.07,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,33.99975,0,59740936,5,322.651092529297,80000.0,1081977.2,71410765.69,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,22.4155,0,376,5,29.9580020904541,80000.0,1081977.2,83944660.07,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,33.05145,0,426,5,29.9580020904541,80000.0,1081977.2,72436804.67,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,29.63001,0,432,5,29.9580020904541,80000.0,1081977.2,76138724.74,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,35.38874,0,458,5,29.9580020904541,80000.0,1081977.2,69907910.18,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,46.44999,0,486,5,29.9580020904541,80000.0,1081977.2,57939889.88,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,15.61112,0,609,5,29.9580020904541,80000.0,1081977.2,91306844.09,0,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,0
1,33.6124,0,710,5,29.9580020904541,80000.0,1081977.2,71829869.56,1,1,60,0.0812,0.5786,0.0017,0.019,2.5784,0.261,0.3565,1
2,34.88129,0,80170392,3,255.390029907227,80000.0,1678484.92,109300772.74,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,28.29982,0,105230056,10,35.0669975280762,520000.0,1678484.92,120347670.89,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,28.93143,0,128540358,7,164.947998046875,80000.0,1678484.92,119287523.03,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,46.55029,0,133910935,10,307.173095703125,1463244.5,1678484.92,89714532.21,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,46.0177,0,155570021,10,36.5989990234375,200000.0,1678484.92,90608476.5,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,35.51988,0,159170042,11,37.8339920043945,50000.0,1678484.92,108228909.06,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,35.81999,0,167670041,10,60.7339935302734,710000.0,1678484.92,107725178.95,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
